Race_Distance,Level,Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Half Marathon,1,1,REST,Fast Finish Run 1,Foundation Run 2,Foundation Run 2,Speed Play Run 2,Foundation Run 2,Long Run 1
Half Marathon,1,2,REST,Fast Finish Run 2,Foundation Run 3,Foundation Run 2,Speed Play Run 1,Foundation Run 2,Long Run 2
Half Marathon,1,3,REST,Fast Finish Run 1,Foundation Run 2,Foundation Run 2,Speed Play Run 2,Foundation Run 2,Long Run 1
Half Marathon,1,4,REST,Fast Finish Run 3,Foundation Run 3,Foundation Run 2,Hill Repetition Run 2,Recovery Run 3,Long Run 3
Half Marathon,1,5,REST,Fast Finish Run 4,Foundation Run 3,Foundation Run 3,Hill Repetition Run 4,Recovery Run 3,Long Run 4
Half Marathon,1,6,REST,Fast Finish Run 2,Foundation Run 2,Foundation Run 3,Hill Repetition Run 3,Recovery Run 3,Long Run 2
Half Marathon,1,7,REST,Tempo Run 1,Recovery Run 3,Foundation Run 4,Short Interval Run 2,Recovery Run 3,Long Run 5
Half Marathon,1,8,REST,Cruise Interval Run 1,Recovery Run 4,Foundation Run 4,Short Interval Run 3,Recovery Run 3,Long Run 6
Half Marathon,1,9,REST,Tempo Run 1,Recovery Run 3,Foundation Run 3,Short Interval Run 2,Recovery Run 3,Long Run 3
Half Marathon,1,10,REST,Tempo Run 3,Recovery Run 4,Foundation Run 4,Long Interval Run 2,Recovery Run 4,Long Run with Speed Play 1
Half Marathon,1,11,REST,Tempo Run 4,Recovery Run 4,Foundation Run 5,Long Interval Run 4,Recovery Run 4,Long Run with Fast Finish 1
Half Marathon,1,12,REST,Tempo Run 2,Recovery Run 4,Foundation Run 4,Long Interval Run 3,Recovery Run 4,Long Run 3
Half Marathon,1,13,REST,Tempo Run 5,Recovery Run 4,Foundation Run 5,Mixed Interval Run 1,Recovery Run 5,Long Run with Fast Finish 2
Half Marathon,1,14,REST,Tempo Run 6,Recovery Run 5,Foundation Run 5,Mixed Interval Run 1,Recovery Run 5,Long Run with Fast Finish 1
Half Marathon,1,15,REST,Fast Finish Run 3,Foundation Run 3,Foundation Run 2,Speed Play Run 1,Recovery Run 1,Half Marathon
Half Marathon,2,1,Foundation Run 5,Fast Finish Run 3,Foundation Run 5,Foundation Run 5,Speed Play Run 4,Foundation Run 5,Long Run 2
Half Marathon,2,2,Foundation Run 5,Fast Finish Run 4,Foundation Run 6,Foundation Run 5,Speed Play Run 5,Foundation Run 5,Long Run 3
Half Marathon,2,3,REST,Fast Finish Run 3,Foundation Run 5,Foundation Run 5,Speed Play Run 4,Foundation Run 5,Long Run 1
Half Marathon,2,4,Foundation Run 5,Fast Finish Run 4,Recovery Run 6,Foundation Run 6,Hill Repetition Run 5,Recovery Run 5,Long Run 5
